Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Latitude,Longitude
RPT-100025,20-02-2025,19-02-2025,12:59,Hyderabad,A101,Kidnapping,43,Other,Gun,Commercial,24,No,,17.38310836,78.49698397
RPT-100026,02-08-2025,30-07-2025,05:00,Chennai,D404,Theft,73,Female,Blunt Object,Public,7,No,,13.07021765,80.28356608
RPT-100027,07-11-2025,30-10-2025,18:45,Bangalore,E505,Fraud,23,Other,Knife,Transport,19,No,,12.98595699,77.59832543
RPT-100028,24-12-2024,11-12-2024,06:28,Chennai,F606,Burglary,10,Male,Gun,Transport,13,Yes,24:39.5,13.07256556,80.26115233
RPT-100029,04-09-2025,02-09-2025,03:41,Hyderabad,A101,Cyber Crime,68,Other,Poison,Cyber,3,No,,17.39548016,78.47472776
RPT-100030,25-11-2025,14-11-2025,18:18,Chennai,D404,Fraud,58,Other,Knife,Transport,10,No,,13.0997937,80.25432082
RPT-100031,05-01-2025,04-01-2025,18:35,Delhi,A101,Burglary,19,Female,Blunt Object,Public,22,No,,28.70198182,77.10779647
RPT-100032,26-06-2025,16-06-2025,01:18,Kolkata,G707,Robbery,68,Other,Poison,Public,10,Yes,24:39.5,22.55371127,88.35005658
RPT-100033,06-09-2025,04-09-2025,20:39,Bangalore,B202,Theft,74,Female,None,Transport,5,No,,12.95820327,77.60067987
RPT-100034,29-01-2025,25-01-2025,10:54,Delhi,B202,Kidnapping,47,Female,Poison,Residential,15,Yes,24:39.5,28.71468269,77.08753964
RPT-100035,21-02-2025,14-02-2025,23:45,Pune,B202,Kidnapping,73,Other,Blunt Object,Transport,23,No,,18.50872638,73.85119724
RPT-100036,01-12-2024,25-11-2024,04:52,Delhi,B202,Fraud,35,Female,Gun,Cyber,18,Yes,24:39.5,28.68561647,77.09384255
RPT-100037,24-05-2025,16-05-2025,00:47,Bangalore,C303,Burglary,11,Female,None,Commercial,25,Yes,24:39.5,12.95842245,77.61334528
RPT-100038,10-11-2025,05-11-2025,10:53,Chennai,D404,Fraud,36,Other,Knife,Commercial,3,Yes,24:39.5,13.07978782,80.28976616
RPT-100039,14-12-2024,05-12-2024,09:59,Delhi,A101,Theft,20,Male,Poison,Residential,6,Yes,24:39.5,28.72034475,77.10622416
RPT-100040,16-03-2025,03-03-2025,03:43,Hyderabad,C303,Cyber Crime,58,Female,Unknown,Public,7,Yes,24:39.5,17.37391663,78.47935101
RPT-100041,10-09-2025,26-08-2025,15:05,Mumbai,E505,Cyber Crime,26,Male,Poison,Private,8,Yes,24:39.5,19.05804918,72.88762217
RPT-100042,08-09-2025,31-08-2025,11:55,Hyderabad,B202,Burglary,57,Other,Blunt Object,Residential,21,No,,17.38082649,78.47224457
RPT-100043,25-12-2024,12-12-2024,20:16,Pune,B202,Burglary,56,Female,Knife,Transport,28,No,,18.51162611,73.84658893
RPT-100044,30-03-2025,25-03-2025,10:11,Hyderabad,E505,Assault,50,Male,Blunt Object,Residential,13,No,,17.39299082,78.48318002
RPT-100045,29-11-2024,24-11-2024,18:30,Pune,E505,Cyber Crime,18,Female,Blunt Object,Private,15,Yes,24:39.5,18.50155003,73.85758071
RPT-100046,11-03-2025,10-03-2025,03:58,Chennai,D404,Robbery,41,Female,Poison,Public,23,Yes,24:39.5,13.09107904,80.28522825
RPT-100047,10-05-2025,06-05-2025,01:43,Delhi,E505,Burglary,49,Other,Gun,Commercial,20,No,,28.70188086,77.10697603
RPT-100048,19-06-2025,05-06-2025,12:08,Pune,D404,Fraud,41,Other,Blunt Object,Cyber,26,Yes,24:39.5,18.52314345,73.84631316
RPT-100049,21-10-2025,19-10-2025,12:04,Hyderabad,F606,Kidnapping,19,Other,Knife,Public,5,Yes,24:39.5,17.39177791,78.47767178
RPT-100050,18-06-2025,04-06-2025,07:05,Chennai,D404,Assault,66,Female,Gun,Cyber,3,No,,13.08308587,80.26561373
RPT-100051,08-06-2025,28-05-2025,08:44,Bangalore,C303,Assault,59,Other,Knife,Residential,28,Yes,24:39.5,12.98209134,77.5791724
RPT-100052,05-11-2024,25-10-2024,23:45,Pune,G707,Burglary,33,Female,Knife,Residential,23,No,,18.50225811,73.84259685
RPT-100053,13-05-2025,28-04-2025,03:23,Pune,G707,Cyber Crime,53,Female,Blunt Object,Commercial,6,No,,18.5233283,73.85716898
RPT-100054,19-09-2025,09-09-2025,16:25,Bangalore,G707,Robbery,69,Female,Knife,Residential,6,Yes,24:39.5,12.9673559,77.58642389
RPT-100055,20-01-2025,18-01-2025,22:19,Hyderabad,C303,Robbery,64,Other,Blunt Object,Commercial,25,No,,17.37391526,78.48495169
RPT-100056,18-09-2025,08-09-2025,07:16,Pune,C303,Cyber Crime,34,Other,Poison,Commercial,28,Yes,24:39.5,18.50887074,73.84673538
RPT-100057,28-11-2025,13-11-2025,07:24,Pune,C303,Theft,77,Male,Knife,Residential,27,Yes,24:39.5,18.53162704,73.8484368
RPT-100058,11-02-2025,05-02-2025,01:22,Kolkata,B202,Fraud,67,Other,None,Transport,19,Yes,24:39.5,22.56383146,88.38372221
RPT-100059,06-09-2025,29-08-2025,01:50,Mumbai,B202,Fraud,13,Female,None,Cyber,8,Yes,24:39.5,19.09489544,72.86500204
RPT-100060,09-11-2024,27-10-2024,14:19,Kolkata,B202,Theft,29,Female,Unknown,Private,19,No,,22.55487128,88.37530693
RPT-100061,24-09-2025,15-09-2025,15:15,Mumbai,D404,Burglary,77,Other,None,Public,19,Yes,24:39.5,19.09118123,72.89503086
RPT-100062,03-12-2025,26-11-2025,10:20,Mumbai,G707,Assault,50,Other,Unknown,Commercial,19,Yes,24:39.5,19.09567644,72.8968725
RPT-100063,24-11-2024,17-11-2024,09:22,Mumbai,E505,Theft,66,Other,Blunt Object,Transport,30,Yes,24:39.5,19.07995599,72.86811517
RPT-100064,25-07-2025,24-07-2025,05:27,Kolkata,G707,Cyber Crime,37,Male,Knife,Residential,26,No,,22.56445919,88.34468289
RPT-100065,27-10-2025,18-10-2025,02:45,Mumbai,D404,Theft,35,Male,Poison,Public,3,Yes,24:39.5,19.07524731,72.87000942
RPT-100066,10-01-2025,03-01-2025,22:30,Delhi,G707,Burglary,41,Male,Blunt Object,Public,25,No,,28.70226115,77.1137969
RPT-100067,06-11-2024,03-11-2024,15:42,Kolkata,E505,Robbery,79,Other,None,Transport,21,No,,22.57130445,88.36010164
RPT-100068,18-09-2025,17-09-2025,13:20,Bangalore,D404,Kidnapping,64,Male,Poison,Residential,2,No,,12.9758706,77.57640837
RPT-100069,04-11-2025,01-11-2025,05:30,Pune,C303,Assault,63,Female,None,Commercial,17,No,,18.51396658,73.8443091
RPT-100070,03-07-2025,02-07-2025,00:33,Chennai,A101,Cyber Crime,29,Male,Blunt Object,Transport,28,Yes,24:39.5,13.10190842,80.27911746
RPT-100071,29-11-2025,14-11-2025,07:26,Mumbai,D404,Fraud,33,Other,Gun,Public,7,Yes,24:39.5,19.09377698,72.8580644
RPT-100072,08-11-2025,01-11-2025,20:16,Chennai,B202,Assault,27,Male,Knife,Private,28,Yes,24:39.5,13.06931335,80.27908344
RPT-100073,11-09-2025,27-08-2025,08:23,Mumbai,F606,Robbery,28,Male,Knife,Cyber,16,No,,19.0570655,72.86593464
RPT-100074,25-05-2025,23-05-2025,16:38,Chennai,B202,Burglary,51,Female,Knife,Residential,29,No,,13.07510929,80.2812133
RPT-100075,29-03-2025,19-03-2025,00:24,Bangalore,G707,Assault,49,Other,None,Residential,18,No,,12.97080065,77.61208973
RPT-100076,18-10-2025,12-10-2025,19:10,Delhi,D404,Robbery,77,Male,Unknown,Residential,1,Yes,24:39.5,28.69935292,77.12211712
RPT-100077,27-06-2025,17-06-2025,06:55,Hyderabad,D404,Cyber Crime,28,Male,Gun,Residential,8,Yes,24:39.5,17.39615128,78.48299256
RPT-100078,04-12-2024,19-11-2024,17:33,Delhi,A101,Assault,17,Other,None,Residential,22,Yes,24:39.5,28.68839431,77.09197096
RPT-100079,24-08-2025,09-08-2025,22:20,Mumbai,E505,Assault,35,Female,Unknown,Transport,4,No,,19.05760747,72.85943467
RPT-100080,25-04-2025,18-04-2025,06:28,Mumbai,E505,Kidnapping,55,Female,Poison,Commercial,10,No,,19.07593886,72.87783943
RPT-100081,02-09-2025,27-08-2025,22:32,Hyderabad,G707,Kidnapping,85,Other,Blunt Object,Commercial,4,No,,17.37759549,78.46904827
RPT-100082,15-10-2025,03-10-2025,08:01,Bangalore,A101,Kidnapping,25,Female,Knife,Residential,9,No,,12.9896473,77.58128388
RPT-100083,22-11-2025,09-11-2025,04:35,Chennai,G707,Burglary,66,Female,Poison,Private,5,Yes,24:39.5,13.10268882,80.25544607
RPT-100084,09-03-2025,27-02-2025,09:53,Pune,F606,Assault,32,Male,Unknown,Commercial,27,No,,18.52784577,73.83904774
RPT-100085,11-09-2025,02-09-2025,04:39,Hyderabad,A101,Robbery,50,Other,Knife,Transport,19,Yes,24:39.5,17.40485255,78.47731518
RPT-100086,13-02-2025,06-02-2025,07:36,Mumbai,E505,Kidnapping,54,Other,Blunt Object,Cyber,22,No,,19.085984,72.87237008
RPT-100087,20-01-2025,19-01-2025,21:42,Kolkata,D404,Assault,26,Female,None,Public,19,Yes,24:39.5,22.56911647,88.36320236
RPT-100088,21-01-2025,12-01-2025,02:55,Mumbai,E505,Burglary,11,Female,Unknown,Public,28,Yes,24:39.5,19.07715974,72.85875412
RPT-100089,05-02-2025,22-01-2025,00:37,Kolkata,B202,Cyber Crime,83,Other,Poison,Commercial,15,Yes,24:39.5,22.57231316,88.37997698
RPT-100090,09-01-2025,06-01-2025,07:27,Kolkata,G707,Cyber Crime,67,Male,Gun,Residential,7,No,,22.57933525,88.37449424
RPT-100091,09-11-2025,25-10-2025,01:33,Pune,E505,Cyber Crime,58,Male,Knife,Commercial,2,Yes,24:39.5,18.51403438,73.843637
RPT-100092,04-12-2025,02-12-2025,09:35,Bangalore,B202,Robbery,83,Other,Knife,Cyber,22,Yes,24:39.5,12.95321911,77.58052133
RPT-100093,26-04-2025,18-04-2025,14:38,Hyderabad,C303,Kidnapping,69,Female,None,Cyber,5,No,,17.38909636,78.47441616
RPT-100094,16-04-2025,15-04-2025,06:43,Hyderabad,D404,Assault,29,Female,Gun,Public,9,Yes,24:39.5,17.36580266,78.49821048
RPT-100095,01-03-2025,21-02-2025,04:19,Chennai,D404,Assault,67,Other,None,Transport,27,No,,13.09997088,80.25550438
RPT-100096,11-09-2025,28-08-2025,21:00,Pune,E505,Burglary,48,Other,Blunt Object,Public,23,Yes,24:39.5,18.51112206,73.86635476
RPT-100097,27-09-2025,22-09-2025,05:20,Chennai,E505,Robbery,60,Male,Unknown,Commercial,3,Yes,24:39.5,13.07988925,80.28033727
RPT-100098,19-12-2024,11-12-2024,17:51,Hyderabad,A101,Fraud,81,Other,Knife,Transport,26,No,,17.38663966,78.46772444
RPT-100099,08-09-2025,07-09-2025,04:45,Mumbai,A101,Burglary,80,Other,Knife,Residential,11,Yes,24:39.5,19.05785624,72.88769088
RPT-100100,10-11-2025,08-11-2025,08:27,Delhi,B202,Fraud,75,Other,Blunt Object,Transport,15,No,,28.69515237,77.10329313
RPT-100101,25-12-2024,24-12-2024,03:24,Pune,A101,Fraud,51,Male,Gun,Residential,25,No,,18.51577733,73.87415114
RPT-100102,24-08-2025,20-08-2025,20:28,Delhi,C303,Kidnapping,45,Female,Gun,Public,29,Yes,24:39.5,28.70754327,77.0962543
RPT-100103,03-05-2025,22-04-2025,06:44,Bangalore,C303,Fraud,48,Male,Unknown,Transport,30,Yes,24:39.5,12.95758844,77.57826049
RPT-100104,04-12-2025,22-11-2025,19:12,Hyderabad,A101,Fraud,31,Female,Poison,Private,16,No,,17.39806524,78.47610532
RPT-100105,29-10-2025,25-10-2025,23:58,Mumbai,E505,Burglary,36,Other,Blunt Object,Transport,5,Yes,24:39.5,19.07576204,72.86804052
RPT-100106,03-02-2025,20-01-2025,15:37,Kolkata,A101,Assault,20,Female,Knife,Public,4,Yes,24:39.5,22.55785643,88.38323301
RPT-100107,25-05-2025,20-05-2025,19:49,Kolkata,F606,Burglary,44,Other,Knife,Private,2,Yes,24:39.5,22.56082205,88.37439076
RPT-100108,21-11-2025,09-11-2025,06:24,Hyderabad,F606,Theft,12,Male,Unknown,Cyber,4,Yes,24:39.5,17.38449758,78.48771662
RPT-100109,09-01-2025,03-01-2025,22:15,Delhi,G707,Assault,34,Male,Blunt Object,Residential,9,Yes,24:39.5,28.70034418,77.09937463
RPT-100110,31-08-2025,16-08-2025,20:59,Kolkata,C303,Burglary,61,Female,Knife,Private,27,No,,22.58482181,88.37354716
RPT-100111,14-01-2025,05-01-2025,13:52,Bangalore,E505,Fraud,58,Other,Blunt Object,Public,7,Yes,24:39.5,12.98920336,77.57493025
RPT-100112,22-08-2025,19-08-2025,20:56,Delhi,G707,Fraud,64,Other,None,Transport,4,Yes,24:39.5,28.71275868,77.08399094
RPT-100113,01-11-2025,30-10-2025,20:46,Mumbai,F606,Cyber Crime,17,Male,Unknown,Residential,20,Yes,24:39.5,19.09034644,72.86996753
RPT-100114,01-12-2025,21-11-2025,10:21,Delhi,G707,Kidnapping,10,Other,Blunt Object,Public,22,No,,28.70747511,77.08447602
RPT-100115,12-12-2024,06-12-2024,08:51,Bangalore,E505,Burglary,35,Other,Unknown,Transport,11,Yes,24:39.5,12.95374413,77.5853664
RPT-100116,20-10-2025,19-10-2025,00:32,Pune,F606,Fraud,17,Other,Blunt Object,Public,18,No,,18.52927929,73.85383439
RPT-100117,23-06-2025,10-06-2025,11:31,Pune,D404,Robbery,18,Male,Knife,Public,26,No,,18.5084152,73.85697154
RPT-100118,28-09-2025,21-09-2025,02:27,Chennai,A101,Fraud,25,Female,None,Public,10,Yes,24:39.5,13.10047181,80.26624619
RPT-100119,01-04-2025,17-03-2025,12:58,Mumbai,B202,Assault,64,Female,Poison,Cyber,11,Yes,24:39.5,19.08233583,72.86637724
RPT-100120,27-06-2025,24-06-2025,15:42,Pune,C303,Kidnapping,72,Male,Gun,Transport,6,Yes,24:39.5,18.53147107,73.84943792
RPT-100121,15-11-2025,02-11-2025,11:29,Hyderabad,B202,Kidnapping,36,Female,None,Private,4,Yes,24:39.5,17.3867393,78.50222259
RPT-100122,03-05-2025,27-04-2025,17:21,Chennai,F606,Burglary,46,Male,Gun,Public,11,Yes,24:39.5,13.08531293,80.27104218
RPT-100123,28-02-2025,21-02-2025,12:28,Hyderabad,C303,Burglary,81,Female,Knife,Transport,22,No,,17.36854293,78.47065167
RPT-100124,03-03-2025,26-02-2025,16:38,Chennai,G707,Cyber Crime,85,Other,Unknown,Cyber,14,No,,13.06819604,80.27761586
RPT-100125,19-03-2025,15-03-2025,10:30,Delhi,C303,Cyber Crime,14,Other,Poison,Public,5,No,,28.70939777,77.09515472
RPT-100126,25-04-2025,21-04-2025,06:25,Mumbai,A101,Cyber Crime,26,Other,Poison,Cyber,18,No,,19.06746386,72.88683026
RPT-100127,12-11-2025,02-11-2025,14:45,Bangalore,F606,Robbery,83,Female,Poison,Transport,1,No,,12.96555866,77.61236769
RPT-100128,11-03-2025,05-03-2025,21:58,Chennai,F606,Fraud,45,Male,Unknown,Commercial,19,No,,13.0690464,80.26335704
RPT-100129,03-12-2025,20-11-2025,17:44,Hyderabad,F606,Kidnapping,50,Female,Blunt Object,Private,20,Yes,24:39.5,17.38838487,78.496408
RPT-100130,15-11-2024,31-10-2024,08:06,Chennai,D404,Assault,70,Male,None,Private,20,Yes,24:39.5,13.09192041,80.27347319
RPT-100131,27-11-2024,24-11-2024,15:16,Hyderabad,E505,Cyber Crime,56,Female,None,Commercial,5,Yes,24:39.5,17.37885175,78.47712956
RPT-100132,19-04-2025,15-04-2025,14:32,Chennai,A101,Assault,84,Male,None,Cyber,3,Yes,24:39.5,13.06479021,80.26093026
RPT-100133,03-05-2025,24-04-2025,10:40,Delhi,G707,Assault,48,Female,Poison,Residential,28,No,,28.72408833,77.08834709
RPT-100134,26-02-2025,18-02-2025,19:28,Kolkata,G707,Assault,59,Male,Gun,Commercial,16,No,,22.55846051,88.36989453
RPT-100135,07-05-2025,03-05-2025,17:07,Delhi,A101,Cyber Crime,36,Other,Poison,Cyber,6,No,,28.70889534,77.10614999
RPT-100136,19-06-2025,05-06-2025,05:50,Bangalore,C303,Theft,67,Other,Blunt Object,Transport,7,No,,12.97981038,77.60471978
RPT-100137,27-05-2025,26-05-2025,00:58,Chennai,D404,Kidnapping,23,Male,None,Residential,16,Yes,24:39.5,13.08195154,80.25882679
RPT-100138,04-12-2024,02-12-2024,12:29,Pune,G707,Theft,70,Other,Blunt Object,Cyber,13,Yes,24:39.5,18.51533059,73.8584166
RPT-100139,28-06-2025,20-06-2025,14:41,Mumbai,C303,Assault,71,Female,Gun,Transport,11,No,,19.05939736,72.88909276
RPT-100140,28-03-2025,26-03-2025,09:07,Delhi,C303,Theft,40,Male,Knife,Private,16,No,,28.70075637,77.12144649
RPT-100141,28-05-2025,14-05-2025,01:01,Bangalore,E505,Kidnapping,42,Male,None,Residential,24,No,,12.97937248,77.57840355
RPT-100142,01-01-2025,21-12-2024,05:27,Mumbai,F606,Fraud,64,Male,Unknown,Private,8,Yes,24:39.5,19.0651834,72.86483107
RPT-100143,30-05-2025,21-05-2025,13:00,Bangalore,E505,Kidnapping,26,Other,None,Public,6,Yes,24:39.5,12.97944648,77.6044613
RPT-100144,19-11-2025,06-11-2025,05:09,Delhi,B202,Burglary,59,Male,Gun,Commercial,29,No,,28.70141219,77.08858146
RPT-100145,19-04-2025,05-04-2025,13:35,Kolkata,D404,Fraud,74,Other,Gun,Cyber,2,Yes,24:39.5,22.57455682,88.36774795
RPT-100146,28-05-2025,13-05-2025,15:32,Mumbai,E505,Theft,42,Female,Poison,Private,10,No,,19.0633335,72.88503176
RPT-100147,28-08-2025,14-08-2025,22:55,Kolkata,E505,Cyber Crime,67,Female,Unknown,Commercial,18,No,,22.57065828,88.34984796
RPT-100148,06-06-2025,24-05-2025,07:27,Mumbai,F606,Fraud,46,Female,Blunt Object,Commercial,19,No,,19.06814971,72.85969166
RPT-100149,27-06-2025,26-06-2025,14:34,Chennai,E505,Cyber Crime,85,Other,Blunt Object,Residential,23,Yes,24:39.5,13.07708825,80.25714511
RPT-100150,19-07-2025,15-07-2025,15:02,Mumbai,A101,Assault,45,Male,Poison,Public,18,No,,19.07793663,72.86248784
RPT-100151,31-03-2025,23-03-2025,09:57,Hyderabad,A101,Robbery,85,Female,Poison,Transport,6,Yes,24:39.5,17.39178979,78.50657704
RPT-100152,19-05-2025,08-05-2025,03:41,Pune,C303,Robbery,18,Female,Gun,Commercial,6,Yes,24:39.5,18.51237514,73.84325224
RPT-100153,27-08-2025,22-08-2025,00:04,Hyderabad,C303,Robbery,32,Male,None,Cyber,17,Yes,24:39.5,17.39078962,78.48263088
RPT-100154,09-05-2025,02-05-2025,14:20,Pune,B202,Robbery,39,Male,Blunt Object,Private,9,Yes,24:39.5,18.50260622,73.84249193
RPT-100155,20-12-2024,07-12-2024,02:52,Chennai,E505,Kidnapping,61,Female,None,Private,4,Yes,24:39.5,13.09500273,80.27087768
RPT-100156,15-02-2025,11-02-2025,17:32,Hyderabad,B202,Theft,76,Other,Unknown,Commercial,19,No,,17.38160268,78.49023857
RPT-100157,23-05-2025,14-05-2025,23:35,Kolkata,E505,Fraud,23,Female,Poison,Transport,24,Yes,24:39.5,22.57292633,88.36714067
RPT-100158,15-11-2025,09-11-2025,12:08,Hyderabad,F606,Fraud,29,Male,Knife,Transport,17,Yes,24:39.5,17.38020587,78.48010932
RPT-100159,11-07-2025,05-07-2025,01:43,Delhi,F606,Theft,79,Other,Gun,Private,6,No,,28.71382981,77.11286384
RPT-100160,15-12-2024,04-12-2024,12:04,Pune,G707,Kidnapping,10,Other,None,Public,22,No,,18.53422605,73.85959722
RPT-100161,11-11-2024,08-11-2024,17:24,Hyderabad,B202,Kidnapping,26,Female,None,Commercial,8,Yes,24:39.5,17.37942551,78.49029132
RPT-100162,09-03-2025,08-03-2025,15:14,Chennai,G707,Kidnapping,33,Other,None,Cyber,15,Yes,24:39.5,13.08303875,80.2697653
RPT-100163,17-06-2025,04-06-2025,23:56,Pune,F606,Robbery,70,Male,None,Private,22,No,,18.50387603,73.86771172
RPT-100164,06-01-2025,03-01-2025,03:07,Kolkata,F606,Cyber Crime,12,Female,Poison,Commercial,4,Yes,24:39.5,22.58770141,88.34848417
RPT-100165,17-04-2025,15-04-2025,05:39,Hyderabad,D404,Assault,81,Male,Unknown,Commercial,20,Yes,24:39.5,17.38568897,78.46710172
RPT-100166,23-12-2024,20-12-2024,15:18,Delhi,E505,Burglary,42,Female,Blunt Object,Public,1,Yes,24:39.5,28.70251476,77.11728287
RPT-100167,15-06-2025,08-06-2025,10:53,Bangalore,B202,Cyber Crime,84,Other,None,Commercial,9,No,,12.96380004,77.61008463
RPT-100168,10-06-2025,30-05-2025,03:58,Hyderabad,G707,Burglary,83,Female,Knife,Private,21,No,,17.3730983,78.49659943
RPT-100169,03-11-2025,30-10-2025,02:48,Kolkata,A101,Assault,72,Other,None,Public,10,Yes,24:39.5,22.59036379,88.36632787
RPT-100170,22-02-2025,11-02-2025,00:58,Bangalore,F606,Theft,54,Female,None,Private,15,Yes,24:39.5,12.96980423,77.57585963
RPT-100171,24-08-2025,13-08-2025,11:48,Delhi,G707,Fraud,61,Other,None,Cyber,17,Yes,24:39.5,28.6990163,77.08400996
RPT-100172,28-12-2024,18-12-2024,12:24,Pune,C303,Theft,30,Other,Knife,Cyber,1,Yes,24:39.5,18.52588906,73.86581128
RPT-100173,23-03-2025,12-03-2025,13:05,Mumbai,B202,Robbery,37,Female,Knife,Transport,12,No,,19.06030057,72.86929603
RPT-100174,22-05-2025,09-05-2025,16:30,Bangalore,C303,Fraud,44,Male,None,Residential,20,No,,12.98938145,77.58157757
RPT-100175,04-11-2025,03-11-2025,08:31,Pune,G707,Robbery,38,Female,None,Public,16,No,,18.50145562,73.84358783
RPT-100176,11-05-2025,03-05-2025,08:31,Pune,E505,Theft,62,Male,Gun,Cyber,13,No,,18.53492258,73.85987504
RPT-100177,14-06-2025,01-06-2025,08:58,Mumbai,B202,Assault,54,Other,None,Cyber,10,Yes,24:39.5,19.05913115,72.89466892
RPT-100178,02-03-2025,27-02-2025,09:25,Chennai,B202,Assault,39,Male,Unknown,Private,12,Yes,24:39.5,13.08042537,80.28300941
RPT-100179,18-08-2025,09-08-2025,05:46,Hyderabad,D404,Robbery,32,Other,Unknown,Residential,27,No,,17.40435742,78.48586788
RPT-100180,24-11-2025,20-11-2025,17:10,Chennai,F606,Robbery,22,Other,Blunt Object,Private,23,Yes,24:39.5,13.07583442,80.26359356
RPT-100181,06-04-2025,02-04-2025,20:53,Delhi,F606,Robbery,72,Male,Knife,Residential,27,Yes,24:39.5,28.71637385,77.10195796
RPT-100182,15-04-2025,11-04-2025,03:38,Hyderabad,D404,Kidnapping,13,Male,Knife,Commercial,21,Yes,24:39.5,17.3845382,78.49444499
RPT-100183,09-10-2025,07-10-2025,20:43,Mumbai,G707,Fraud,65,Other,Blunt Object,Public,12,Yes,24:39.5,19.08099736,72.86656157
RPT-100184,02-11-2025,01-11-2025,16:21,Bangalore,A101,Cyber Crime,50,Other,None,Transport,7,Yes,24:39.5,12.95819703,77.60593773
RPT-100185,11-06-2025,02-06-2025,20:02,Delhi,B202,Assault,43,Male,Gun,Residential,24,No,,28.71505326,77.08349558
RPT-100186,15-11-2024,01-11-2024,07:37,Delhi,F606,Fraud,25,Other,Gun,Transport,7,No,,28.70895004,77.11694482
RPT-100187,19-11-2024,04-11-2024,04:20,Chennai,D404,Kidnapping,15,Other,Knife,Private,23,No,,13.07935844,80.27077919
RPT-100188,04-04-2025,20-03-2025,17:04,Hyderabad,A101,Robbery,83,Female,Unknown,Transport,8,Yes,24:39.5,17.40023957,78.50303079
